Strategy report
Symbol: /ES:XCME
Work Time: 11/11/20, 7:30 AM - 7/29/21, 1:30 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,571.50;11/11/20, 7:30 AM;$100.00;$150.00;-50.0;
2;shared_kg_EveryTickOHLC(OHLC|3,570.25|3,570.75|3,568.25|3,568.5);Buy to Open;1;50.0;$3,569.50;11/11/20, 7:30 AM;;$100.00;0.0;
3;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,570.75;11/11/20, 7:40 AM;$125.00;$362.50;-50.0;
4;shared_kg_EveryTickOHLC(OHLC|3,568.5|3,568.75|3,565.25|3,565.5);Buy to Open;1;50.0;$3,568.25;11/11/20, 7:40 AM;;$225.00;0.0;
5;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,568.75;11/11/20, 7:50 AM;$175.00;$375.00;-50.0;
6;shared_kg_EveryTickOHLC(OHLC|3,565.5|3,566|3,563|3,565.75);Buy to Open;1;50.0;$3,565.25;11/11/20, 7:50 AM;;$400.00;0.0;
7;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.00;11/11/20, 8:00 AM;$150.00;$512.50;-50.0;
8;shared_kg_EveryTickOHLC(OHLC|3,565.75|3,566|3,562|3,563.75);Buy to Open;1;50.0;$3,563.00;11/11/20, 8:00 AM;;$550.00;0.0;
9;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.00;11/11/20, 8:10 AM;$200.00;$512.50;-50.0;
10;shared_kg_EveryTickOHLC(OHLC|3,563.75|3,566.75|3,563.75|3,566.75);Buy to Open;1;50.0;$3,562.00;11/11/20, 8:10 AM;;$750.00;0.0;
11;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.75;11/11/20, 8:20 AM;$150.00;$837.50;-50.0;
12;shared_kg_EveryTickOHLC(OHLC|3,566.5|3,566.75|3,563.5|3,565);Buy to Open;1;50.0;$3,563.75;11/11/20, 8:20 AM;;$900.00;0.0;
13;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.75;11/11/20, 8:30 AM;$162.50;$1,187.50;-50.0;
14;shared_kg_EveryTickOHLC(OHLC|3,564.75|3,566.75|3,558.25|3,561);Buy to Open;1;50.0;$3,563.50;11/11/20, 8:30 AM;;$1,062.50;0.0;
15;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.75;11/11/20, 8:40 AM;$425.00;$1,187.50;-50.0;
16;shared_kg_EveryTickOHLC(OHLC|3,561|3,567|3,558.75|3,564.25);Buy to Open;1;50.0;$3,558.25;11/11/20, 8:40 AM;;$1,487.50;0.0;
17;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,567.00;11/11/20, 8:50 AM;$412.50;$2,137.50;-50.0;
18;shared_kg_EveryTickOHLC(OHLC|3,564.25|3,566|3,551.75|3,554);Buy to Open;1;50.0;$3,558.75;11/11/20, 8:50 AM;;$1,900.00;0.0;
19;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.00;11/11/20, 9:00 AM;$712.50;$2,362.50;-50.0;
20;shared_kg_EveryTickOHLC(OHLC|3,554|3,557.75|3,552.25|3,556.75);Buy to Open;1;50.0;$3,551.75;11/11/20, 9:00 AM;;$2,612.50;0.0;
21;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,557.75;11/11/20, 9:10 AM;$275.00;$2,725.00;-50.0;
22;shared_kg_EveryTickOHLC(OHLC|3,556.75|3,559.25|3,552|3,555.5);Buy to Open;1;50.0;$3,552.25;11/11/20, 9:10 AM;;$2,887.50;0.0;
23;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,559.25;11/11/20, 9:20 AM;$362.50;$2,875.00;-50.0;
24;shared_kg_EveryTickOHLC(OHLC|3,555.75|3,559.75|3,553.25|3,559.5);Buy to Open;1;50.0;$3,552.00;11/11/20, 9:20 AM;;$3,250.00;0.0;
25;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,559.75;11/11/20, 9:30 AM;$325.00;$3,237.50;-50.0;
26;shared_kg_EveryTickOHLC(OHLC|3,559.75|3,564.25|3,558.25|3,560);Buy to Open;1;50.0;$3,553.25;11/11/20, 9:30 AM;;$3,575.00;0.0;
27;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,564.25;11/11/20, 9:40 AM;$300.00;$3,925.00;-50.0;
28;shared_kg_EveryTickOHLC(OHLC|3,560|3,562.5|3,555.5|3,557.25);Buy to Open;1;50.0;$3,558.25;11/11/20, 9:40 AM;;$3,875.00;0.0;
29;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,562.50;11/11/20, 9:50 AM;$350.00;$3,962.50;-50.0;
30;shared_kg_EveryTickOHLC(OHLC|3,557.25|3,561.5|3,556|3,560.75);Buy to Open;1;50.0;$3,555.50;11/11/20, 9:50 AM;;$4,225.00;0.0;
31;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,561.50;11/11/20, 10:00 AM;$275.00;$4,150.00;-50.0;
32;shared_kg_EveryTickOHLC(OHLC|3,561|3,563.25|3,558.75|3,563);Buy to Open;1;50.0;$3,556.00;11/11/20, 10:00 AM;;$4,500.00;0.0;
33;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,563.25;11/11/20, 10:10 AM;$225.00;$4,275.00;-50.0;
34;shared_kg_EveryTickOHLC(OHLC|3,563|3,567.75|3,562.25|3,567.75);Buy to Open;1;50.0;$3,558.75;11/11/20, 10:10 AM;;$4,725.00;0.0;
35;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,567.75;11/11/20, 10:20 AM;$275.00;$4,750.00;-50.0;
36;shared_kg_EveryTickOHLC(OHLC|3,567.75|3,568.75|3,565.75|3,567.25);Buy to Open;1;50.0;$3,562.25;11/11/20, 10:20 AM;;$5,000.00;0.0;
37;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,568.75;11/11/20, 10:30 AM;$150.00;$5,075.00;-50.0;
38;shared_kg_EveryTickOHLC(OHLC|3,567.5|3,569|3,565.5|3,567.25);Buy to Open;1;50.0;$3,565.75;11/11/20, 10:30 AM;;$5,150.00;0.0;
39;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,569.00;11/11/20, 10:40 AM;$175.00;$5,100.00;-50.0;
40;shared_kg_EveryTickOHLC(OHLC|3,567.25|3,570.5|3,567|3,570);Buy to Open;1;50.0;$3,565.50;11/11/20, 10:40 AM;;$5,325.00;0.0;
41;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,570.50;11/11/20, 10:50 AM;$175.00;$5,337.50;-50.0;
42;shared_kg_EveryTickOHLC(OHLC|3,570|3,570.25|3,567.5|3,570.25);Buy to Open;1;50.0;$3,567.00;11/11/20, 10:50 AM;;$5,500.00;0.0;
43;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,570.25;11/11/20, 11:00 AM;$137.50;$5,350.00;-50.0;
44;shared_kg_EveryTickOHLC(OHLC|3,570.25|3,575|3,568.25|3,573.25);Buy to Open;1;50.0;$3,567.50;11/11/20, 11:00 AM;;$5,637.50;0.0;
45;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,575.00;11/11/20, 11:10 AM;$337.50;$5,912.50;-50.0;
46;shared_kg_EveryTickOHLC(OHLC|3,573.25|3,574.25|3,569|3,569.5);Buy to Open;1;50.0;$3,568.25;11/11/20, 11:10 AM;;$5,975.00;0.0;
47;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,574.25;11/11/20, 11:20 AM;$262.50;$6,187.50;-50.0;
48;shared_kg_EveryTickOHLC(OHLC|3,569.75|3,570.75|3,568.25|3,570);Buy to Open;1;50.0;$3,569.00;11/11/20, 11:20 AM;;$6,237.50;0.0;
49;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,570.75;11/11/20, 11:30 AM;$125.00;$6,187.50;-50.0;
50;shared_kg_EveryTickOHLC(OHLC|3,570|3,572.5|3,569.75|3,571.75);Buy to Open;1;50.0;$3,568.25;11/11/20, 11:30 AM;;$6,362.50;0.0;
51;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,572.50;11/11/20, 11:40 AM;$137.50;$6,312.50;-50.0;
52;shared_kg_EveryTickOHLC(OHLC|3,572|3,574.5|3,571|3,573.5);Buy to Open;1;50.0;$3,569.75;11/11/20, 11:40 AM;;$6,500.00;0.0;
53;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,574.50;11/11/20, 11:50 AM;$175.00;$6,612.50;-50.0;
54;shared_kg_EveryTickOHLC(OHLC|3,573.75|3,574|3,570.5|3,572.25);Buy to Open;1;50.0;$3,571.00;11/11/20, 11:50 AM;;$6,675.00;0.0;
55;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,574.00;11/11/20, 12:00 PM;$175.00;$6,825.00;-50.0;
56;shared_kg_EveryTickOHLC(OHLC|3,572.25|3,572.5|3,570.25|3,571);Buy to Open;1;50.0;$3,570.50;11/11/20, 12:00 PM;;$6,850.00;0.0;
57;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,572.50;11/11/20, 12:10 PM;$112.50;$6,800.00;-50.0;
58;shared_kg_EveryTickOHLC(OHLC|3,571|3,573.75|3,570.25|3,573.5);Buy to Open;1;50.0;$3,570.25;11/11/20, 12:10 PM;;$6,962.50;0.0;
59;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,573.75;11/11/20, 12:20 PM;$175.00;$7,087.50;-50.0;
60;shared_kg_EveryTickOHLC(OHLC|3,573.5|3,576.75|3,570.5|3,571.25);Buy to Open;1;50.0;$3,570.25;11/11/20, 12:20 PM;;$7,137.50;0.0;
61;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,576.75;11/11/20, 12:30 PM;$312.50;$7,200.00;-50.0;
62;shared_kg_EveryTickOHLC(OHLC|3,571.25|3,575.5|3,570.5|3,575.5);Buy to Open;1;50.0;$3,570.50;11/11/20, 12:30 PM;;$7,450.00;0.0;
63;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,575.50;11/11/20, 12:40 PM;$250.00;$7,662.50;-50.0;
64;shared_kg_EveryTickOHLC(OHLC|3,575.5|3,575.5|3,570.5|3,571.25);Buy to Open;1;50.0;$3,570.50;11/11/20, 12:40 PM;;$7,700.00;0.0;
65;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,575.50;11/11/20, 12:50 PM;$250.00;$8,075.00;-50.0;
66;shared_kg_EveryTickOHLC(OHLC|3,571|3,572.5|3,567.5|3,568);Buy to Open;1;50.0;$3,570.50;11/11/20, 12:50 PM;;$7,950.00;0.0;
67;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,572.50;11/11/20, 1:00 PM;$250.00;$8,000.00;-50.0;
68;shared_kg_EveryTickOHLC(OHLC|3,568.25|3,574|3,567.75|3,571.5);Buy to Open;1;50.0;$3,567.50;11/11/20, 1:00 PM;;$8,200.00;0.0;
69;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,574.00;11/11/20, 1:10 PM;$312.50;$8,475.00;-50.0;
70;shared_kg_EveryTickOHLC(OHLC|3,571.5|3,573.25|3,567.25|3,568.5);Buy to Open;1;50.0;$3,567.75;11/11/20, 1:10 PM;;$8,512.50;0.0;
71;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,573.25;11/11/20, 1:20 PM;$300.00;$8,987.50;-50.0;
72;shared_kg_EveryTickOHLC(OHLC|3,568.5|3,571|3,562.5|3,563.75);Buy to Open;1;50.0;$3,567.25;11/11/20, 1:20 PM;;$8,812.50;0.0;
73;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,571.00;11/11/20, 1:30 PM;$425.00;$9,225.00;-50.0;
74;shared_kg_EveryTickOHLC(OHLC|3,563.75|3,566.5|3,562|3,562.75);Buy to Open;1;50.0;$3,562.50;11/11/20, 1:30 PM;;$9,237.50;0.0;
75;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.50;11/11/20, 1:40 PM;$225.00;$9,862.50;-50.0;
76;shared_kg_EveryTickOHLC(OHLC|3,562.75|3,563|3,552|3,554);Buy to Open;1;50.0;$3,562.00;11/11/20, 1:40 PM;;$9,462.50;0.0;
77;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,563.00;11/11/20, 1:50 PM;$550.00;$9,712.50;-50.0;
78;shared_kg_EveryTickOHLC(OHLC|3,554|3,559.5|3,551.25|3,558);Buy to Open;1;50.0;$3,552.00;11/11/20, 1:50 PM;;$10,012.50;0.0;
79;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,559.50;11/11/20, 2:00 PM;$412.50;$9,937.50;-50.0;
80;shared_kg_EveryTickOHLC(OHLC|3,558.25|3,561.25|3,556|3,561);Buy to Open;1;50.0;$3,551.25;11/11/20, 2:00 PM;;$10,425.00;0.0;
81;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,561.25;11/11/20, 2:10 PM;$262.50;$10,362.50;-50.0;
82;shared_kg_EveryTickOHLC(OHLC|3,561|3,563.25|3,559.5|3,562.5);Buy to Open;1;50.0;$3,556.00;11/11/20, 2:10 PM;;$10,687.50;0.0;
83;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,563.25;11/11/20, 2:20 PM;$187.50;$11,112.50;-50.0;
84;shared_kg_EveryTickOHLC(OHLC|3,562.5|3,562.75|3,554.75|3,554.75);Buy to Open;1;50.0;$3,559.50;11/11/20, 2:20 PM;;$10,875.00;0.0;
85;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,562.75;11/11/20, 2:30 PM;$400.00;$10,937.50;-50.0;
86;shared_kg_EveryTickOHLC(OHLC|3,555|3,562.25|3,554|3,561.5);Buy to Open;1;50.0;$3,554.75;11/11/20, 2:30 PM;;$11,275.00;0.0;
87;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,562.25;11/11/20, 2:40 PM;$412.50;$11,025.00;-50.0;
88;shared_kg_EveryTickOHLC(OHLC|3,561.5|3,567.5|3,560.5|3,567.25);Buy to Open;1;50.0;$3,554.00;11/11/20, 2:40 PM;;$11,687.50;0.0;
89;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,567.50;11/11/20, 2:50 PM;$350.00;$11,712.50;-50.0;
90;shared_kg_EveryTickOHLC(OHLC|3,567.5|3,570|3,565.25|3,567);Buy to Open;1;50.0;$3,560.50;11/11/20, 2:50 PM;;$12,037.50;0.0;
91;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,570.00;11/11/20, 3:00 PM;$237.50;$11,975.00;-50.0;
92;shared_kg_EveryTickOHLC(OHLC|3,567|3,574.25|3,567|3,571.25);Buy to Open;1;50.0;$3,565.25;11/11/20, 3:00 PM;;$12,275.00;0.0;
93;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,555.75;11/12/20, 7:30 AM;$462.50;$12,212.50;-50.0;
94;shared_kg_EveryTickOHLC(OHLC|3,553.5|3,558.5|3,551|3,557);Buy to Open;1;50.0;$3,546.50;11/12/20, 7:30 AM;;$12,737.50;0.0;
95;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,558.50;11/12/20, 7:40 AM;$375.00;$12,812.50;-50.0;
96;shared_kg_EveryTickOHLC(OHLC|3,557.25|3,559|3,556|3,557);Buy to Open;1;50.0;$3,551.00;11/12/20, 7:40 AM;;$13,112.50;0.0;
97;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,559.00;11/12/20, 7:50 AM;$150.00;$13,112.50;-50.0;
98;shared_kg_EveryTickOHLC(OHLC|3,556.75|3,559.5|3,554.25|3,559);Buy to Open;1;50.0;$3,556.00;11/12/20, 7:50 AM;;$13,262.50;0.0;
99;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,559.50;11/12/20, 8:00 AM;$262.50;$13,600.00;-50.0;
100;shared_kg_EveryTickOHLC(OHLC|3,559|3,560|3,551.75|3,552.75);Buy to Open;1;50.0;$3,554.25;11/12/20, 8:00 AM;;$13,525.00;0.0;
101;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,560.00;11/12/20, 8:10 AM;$412.50;$13,787.50;-50.0;
102;shared_kg_EveryTickOHLC(OHLC|3,552.5|3,556.75|3,552.25|3,554.75);Buy to Open;1;50.0;$3,551.75;11/12/20, 8:10 AM;;$13,937.50;0.0;
103;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,556.75;11/12/20, 8:20 AM;$225.00;$13,937.50;-50.0;
104;shared_kg_EveryTickOHLC(OHLC|3,554.75|3,557.25|3,554.25|3,556.75);Buy to Open;1;50.0;$3,552.25;11/12/20, 8:20 AM;;$14,162.50;0.0;
105;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,557.25;11/12/20, 8:30 AM;$150.00;$14,125.00;-50.0;
106;shared_kg_EveryTickOHLC(OHLC|3,557|3,559.5|3,548.5|3,558);Buy to Open;1;50.0;$3,554.25;11/12/20, 8:30 AM;;$14,312.50;0.0;
107;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,559.50;11/12/20, 8:40 AM;$550.00;$14,862.50;-50.0;
108;shared_kg_EveryTickOHLC(OHLC|3,558|3,559.5|3,548.25|3,548.5);Buy to Open;1;50.0;$3,548.50;11/12/20, 8:40 AM;;$14,862.50;0.0;
109;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,559.50;11/12/20, 8:50 AM;$562.50;$15,137.50;-50.0;
110;shared_kg_EveryTickOHLC(OHLC|3,548.5|3,556|3,547.25|3,554);Buy to Open;1;50.0;$3,548.25;11/12/20, 8:50 AM;;$15,425.00;0.0;
111;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,556.00;11/12/20, 9:00 AM;$437.50;$15,375.00;-50.0;
112;shared_kg_EveryTickOHLC(OHLC|3,554|3,557.25|3,550.25|3,557);Buy to Open;1;50.0;$3,547.25;11/12/20, 9:00 AM;;$15,862.50;0.0;
113;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,557.25;11/12/20, 9:10 AM;$350.00;$15,675.00;-50.0;
114;shared_kg_EveryTickOHLC(OHLC|3,557|3,563.25|3,555.75|3,561);Buy to Open;1;50.0;$3,550.25;11/12/20, 9:10 AM;;$16,212.50;0.0;
115;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,563.25;11/12/20, 9:20 AM;$375.00;$16,662.50;-50.0;
116;shared_kg_EveryTickOHLC(OHLC|3,561|3,562.25|3,552.25|3,554.25);Buy to Open;1;50.0;$3,555.75;11/12/20, 9:20 AM;;$16,587.50;0.0;
117;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,562.25;11/12/20, 9:30 AM;$500.00;$16,687.50;-50.0;
118;shared_kg_EveryTickOHLC(OHLC|3,554|3,560.75|3,553.5|3,560.25);Buy to Open;1;50.0;$3,552.25;11/12/20, 9:30 AM;;$17,087.50;0.0;
119;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,560.75;11/12/20, 9:40 AM;$362.50;$17,050.00;-50.0;
120;shared_kg_EveryTickOHLC(OHLC|3,560.25|3,564.75|3,559.5|3,561.5);Buy to Open;1;50.0;$3,553.50;11/12/20, 9:40 AM;;$17,450.00;0.0;
121;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,564.75;11/12/20, 9:50 AM;$262.50;$17,650.00;-50.0;
122;shared_kg_EveryTickOHLC(OHLC|3,561.25|3,563.5|3,559.25|3,560.75);Buy to Open;1;50.0;$3,559.50;11/12/20, 9:50 AM;;$17,712.50;0.0;
123;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,563.50;11/12/20, 10:00 AM;$212.50;$17,700.00;-50.0;
124;shared_kg_EveryTickOHLC(OHLC|3,560.5|3,565.25|3,559.5|3,563.75);Buy to Open;1;50.0;$3,559.25;11/12/20, 10:00 AM;;$17,925.00;0.0;
125;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,565.25;11/12/20, 10:10 AM;$287.50;$18,262.50;-50.0;
126;shared_kg_EveryTickOHLC(OHLC|3,563.5|3,564|3,556.5|3,558.5);Buy to Open;1;50.0;$3,559.50;11/12/20, 10:10 AM;;$18,212.50;0.0;
127;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,564.00;11/12/20, 10:20 AM;$375.00;$18,550.00;-50.0;
128;shared_kg_EveryTickOHLC(OHLC|3,558.5|3,559.5|3,555|3,557.25);Buy to Open;1;50.0;$3,556.50;11/12/20, 10:20 AM;;$18,587.50;0.0;
129;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,559.50;11/12/20, 10:30 AM;$225.00;$18,975.00;-50.0;
130;shared_kg_EveryTickOHLC(OHLC|3,557.25|3,557.5|3,551.5|3,551.75);Buy to Open;1;50.0;$3,555.00;11/12/20, 10:30 AM;;$18,812.50;0.0;
131;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,557.50;11/12/20, 10:40 AM;$300.00;$19,162.50;-50.0;
132;shared_kg_EveryTickOHLC(OHLC|3,551.75|3,553.5|3,547.75|3,550.5);Buy to Open;1;50.0;$3,551.50;11/12/20, 10:40 AM;;$19,112.50;0.0;
133;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,553.50;11/12/20, 10:50 AM;$287.50;$19,125.00;-50.0;
134;shared_kg_EveryTickOHLC(OHLC|3,550.5|3,554.75|3,549.25|3,553.25);Buy to Open;1;50.0;$3,547.75;11/12/20, 10:50 AM;;$19,400.00;0.0;
135;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,554.75;11/12/20, 11:00 AM;$275.00;$19,425.00;-50.0;
136;shared_kg_EveryTickOHLC(OHLC|3,553.25|3,555.25|3,550.75|3,554.25);Buy to Open;1;50.0;$3,549.25;11/12/20, 11:00 AM;;$19,675.00;0.0;
137;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,555.25;11/12/20, 11:10 AM;$225.00;$19,762.50;-50.0;
138;shared_kg_EveryTickOHLC(OHLC|3,554|3,557|3,552.5|3,553.5);Buy to Open;1;50.0;$3,550.75;11/12/20, 11:10 AM;;$19,900.00;0.0;
139;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,557.00;11/12/20, 11:20 AM;$225.00;$20,575.00;-50.0;
140;shared_kg_EveryTickOHLC(OHLC|3,553.75|3,556|3,543|3,543.5);Buy to Open;1;50.0;$3,552.50;11/12/20, 11:20 AM;;$20,125.00;0.0;
141;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,556.00;11/12/20, 11:30 AM;$650.00;$20,812.50;-50.0;
142;shared_kg_EveryTickOHLC(OHLC|3,543.5|3,547.25|3,542|3,542.25);Buy to Open;1;50.0;$3,543.00;11/12/20, 11:30 AM;;$20,775.00;0.0;
143;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,547.25;11/12/20, 11:40 AM;$262.50;$21,637.50;-50.0;
144;shared_kg_EveryTickOHLC(OHLC|3,542.25|3,543|3,529|3,530);Buy to Open;1;50.0;$3,542.00;11/12/20, 11:40 AM;;$21,037.50;0.0;
145;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,543.00;11/12/20, 11:50 AM;$700.00;$21,525.00;-50.0;
146;shared_kg_EveryTickOHLC(OHLC|3,530|3,534.25|3,525.5|3,533.25);Buy to Open;1;50.0;$3,529.00;11/12/20, 11:50 AM;;$21,737.50;0.0;
147;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,534.25;11/12/20, 12:00 PM;$437.50;$21,925.00;-50.0;
148;shared_kg_EveryTickOHLC(OHLC|3,533|3,534.25|3,527.75|3,530.5);Buy to Open;1;50.0;$3,525.50;11/12/20, 12:00 PM;;$22,175.00;0.0;
149;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,534.25;11/12/20, 12:10 PM;$325.00;$22,650.00;-50.0;
150;shared_kg_EveryTickOHLC(OHLC|3,530.25|3,531|3,521.25|3,524.75);Buy to Open;1;50.0;$3,527.75;11/12/20, 12:10 PM;;$22,500.00;0.0;
151;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,531.00;11/12/20, 12:20 PM;$487.50;$22,887.50;-50.0;
152;shared_kg_EveryTickOHLC(OHLC|3,524.5|3,529.75|3,520|3,523.25);Buy to Open;1;50.0;$3,521.25;11/12/20, 12:20 PM;;$22,987.50;0.0;
153;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,529.75;11/12/20, 12:30 PM;$487.50;$22,937.50;-50.0;
154;shared_kg_EveryTickOHLC(OHLC|3,523|3,533|3,520.25|3,530.75);Buy to Open;1;50.0;$3,520.00;11/12/20, 12:30 PM;;$23,475.00;0.0;
155;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,533.00;11/12/20, 12:40 PM;$637.50;$23,787.50;-50.0;
156;shared_kg_EveryTickOHLC(OHLC|3,530.75|3,531.75|3,525.5|3,526.75);Buy to Open;1;50.0;$3,520.25;11/12/20, 12:40 PM;;$24,112.50;0.0;
157;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,531.75;11/12/20, 12:50 PM;$312.50;$23,962.50;-50.0;
158;shared_kg_EveryTickOHLC(OHLC|3,527|3,535.75|3,525.75|3,534.75);Buy to Open;1;50.0;$3,525.50;11/12/20, 12:50 PM;;$24,425.00;0.0;
159;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,535.75;11/12/20, 1:00 PM;$500.00;$24,700.00;-50.0;
160;shared_kg_EveryTickOHLC(OHLC|3,535|3,539.25|3,529.75|3,530.25);Buy to Open;1;50.0;$3,525.75;11/12/20, 1:00 PM;;$24,925.00;0.0;
161;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,539.25;11/12/20, 1:10 PM;$475.00;$25,625.00;-50.0;
162;shared_kg_EveryTickOHLC(OHLC|3,530.25|3,532.25|3,523.75|3,525.25);Buy to Open;1;50.0;$3,529.75;11/12/20, 1:10 PM;;$25,400.00;0.0;
163;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,532.25;11/12/20, 1:20 PM;$425.00;$25,625.00;-50.0;
164;shared_kg_EveryTickOHLC(OHLC|3,525|3,529.75|3,523.25|3,527.75);Buy to Open;1;50.0;$3,523.75;11/12/20, 1:20 PM;;$25,825.00;0.0;
165;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,529.75;11/12/20, 1:30 PM;$325.00;$25,937.50;-50.0;
