Date,Open,High,Low,Close/Last,close-1,close-2,close-3,close-4,close-5,5MA,13MA,20MA,26MA,50MA,trend
6/21/2021,4173.4,4226.24,4173.4,4224.79,4166.45,4221.86,4223.7,4246.59,4247.44,4216.678,4224.71,4213.019524,4200.506923,4183.5088,
6/18/2021,4204.78,4204.78,4164.4,4166.45,4221.86,4223.7,4246.59,4255.15,4239.18,4222.75,4223.427692,4209.892381,4196.188077,4181.589,1
6/17/2021,4220.37,4232.29,4196.05,4221.86,4223.7,4246.59,4255.15,4247.44,4219.55,4238.948,4226.165385,4207.474762,4192.210769,4180.2034,-1
6/16/2021,4248.87,4251.89,4202.45,4223.7,4246.59,4255.15,4247.44,4239.18,4227.26,4242.412,4224.8,4202.997143,4189.527692,4177.3652,-1
6/15/2021,4255.28,4257.16,4238.35,4246.59,4255.15,4247.44,4239.18,4219.55,4226.52,4241.582,4223.044615,4200.120476,4188.171154,4174.37,-1
6/14/2021,4248.31,4255.59,4234.07,4255.15,4247.44,4239.18,4219.55,4227.26,4229.89,4237.716,4219.152308,4196.656667,4187.633077,4170.9964,-1
6/11/2021,4242.9,4248.38,4232.25,4247.44,4239.18,4219.55,4227.26,4226.52,4192.85,4231.99,4213.996923,4189.86381,4185.574231,4166.2908,1
6/10/2021,4228.56,4249.74,4220.34,4239.18,4219.55,4227.26,4226.52,4229.89,4208.12,4228.48,4210.120769,4181.082857,4182.503077,4160.7998,1
6/9/2021,4232.99,4237.09,4218.74,4219.55,4227.26,4226.52,4229.89,4192.85,4202.04,4219.214,4203.711538,4176.93619,4179.636923,4155.1872,1
6/8/2021,4233.81,4236.74,4208.41,4227.26,4226.52,4229.89,4192.85,4208.12,4204.11,4216.928,4199.063077,4175.454286,4178.602692,4150.218,-1
6/7/2021,4229.34,4232.34,4215.66,4226.52,4229.89,4192.85,4208.12,4202.04,4200.88,4211.884,4190.48,4175.708571,4176.83,4145.1636,1
6/4/2021,4206.05,4233.45,4206.05,4229.89,4192.85,4208.12,4202.04,4204.11,4195.99,4207.402,4182.888462,4174.522857,4176.251154,4138.8236,-1
6/3/2021,4191.43,4204.39,4167.93,4192.85,4208.12,4202.04,4204.11,4200.88,4188.13,4201.6,4177.765385,4171.55619,4174.454615,4132.0086,1
6/2/2021,4206.82,4217.37,4198.27,4208.12,4202.04,4204.11,4200.88,4195.99,4197.05,4202.228,4176.303846,4170.21381,4174.218846,4126.362,-1
6/1/2021,4216.52,4234.12,4197.59,4202.04,4204.11,4200.88,4195.99,4188.13,4155.86,4198.23,4168.948462,4169.477619,4173.430385,4121.0114,1
5/28/2021,4210.77,4218.36,4203.57,4204.11,4200.88,4195.99,4188.13,4197.05,4159.12,4197.232,4158.256154,4168.48381,4172.589231,4115.2326,-1
5/27/2021,4201.94,4213.38,4197.78,4200.88,4195.99,4188.13,4197.05,4155.86,4115.68,4187.582,4154.255385,4168.834286,4169.930385,4109.4596,1
5/26/2021,4191.59,4202.61,4184.11,4195.99,4188.13,4197.05,4155.86,4159.12,4127.83,4179.23,4153.297692,4167.991429,4168.874231,4104.9244,1
5/25/2021,4205.94,4213.42,4182.52,4188.13,4197.05,4155.86,4159.12,4115.68,4163.29,4163.168,4156.113846,4167.55,4166.526154,4100.2588,1
5/24/2021,4170.16,4209.52,4170.16,4197.05,4155.86,4159.12,4115.68,4127.83,4173.85,4151.108,4157.151538,4167.525714,4165.569615,4095.875,-1
5/21/2021,4168.61,4188.72,4151.72,4155.86,4159.12,4115.68,4127.83,4163.29,4112.5,4144.356,4154.885385,4166.721905,4165.124231,4090.8008,1
5/20/2021,4121.97,4172.8,4121.97,4159.12,4115.68,4127.83,4163.29,4173.85,4063.04,4147.954,4155.562308,4165.727619,4165.684231,4086.4704,-1
5/19/2021,4098.45,4116.93,4061.41,4115.68,4127.83,4163.29,4173.85,4112.5,4152.1,4138.63,4158.142308,4166.408571,4164.358846,4081.2642,1
